Screen ID,Destinations,Destination Count
PRE-154,"Government Center, Union Square, Medford/Tufts, Braintree, Ashmont, Alewife, Mattapan, Forest Hills, Oak Grove, Boston College, Cleveland Circle, Riverside, Heath Street, Bowdoin, Wonderland, Logan Airport, South Station, Design Center, Chelsea, Nubian, Downtown, Silver Line Way, Readville, Fall River, New Bedford, Wachusett, North Station, Worcester, Forge Park/495, Foxboro, Winthrop Loop, Quincy Loop, Greenbush, Haverhill, Kingston, Lowell, Needham Heights, Newburyport, Rockport, Wickford Junction, Stoughton, Providence, Hyannis, Charlestown Navy Yard, Long Wharf, Hingham, Rowes Wharf, Hingham via Logan Airport & Hull, Hingham via Hull, Long Wharf via Hull & Logan Airport, Long Wharf via Hull & Georges Island, Lewis Mall Wharf, Blossom Street Pier, Winthrop/Quincy Loop, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), Harvard, North Station via South Station, Design Center via South Station, Otis & Summer, Harbor Point via South Bay Center, Kenmore via South Bay Center, City Point, Copley, City Point via South Bay Center, Arlington via South Bay Center, Chauncy & Summer, Roslindale Square, Heath St, Fields Corner, Ruggles, Forest Hills via South Bay Center, Andrew via South Bay Center, Andrew, Kenmore, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Mattapan via Franklin Field, Jackson Square via Franklin Field, Wolcott Square, River St & Milton St, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Back Bay, Georgetowne, Centre St & Eliot St, JFK/UMass, Park St & Tremont St, Jackson Square, Franklin Park, Central Square, Broadway, Cleary Square, Reservoir, Watertown Yard, West Fenway, Arlington, Needham Junction via Needham St, Watertown Square via Needham St, Chestnut Hill Mall, North Waltham, Waltham Center, Bedford VA, Oak Square, Kendall/MIT, Brighton Center, Harvard via Allston, Nubian via Allston, Turkey Hill via Arlington Center, Alewife via Arlington Center, Lechmere, Market Place Dr, University Park, Watertown Square, Waverley, Belmont Center, Lincoln Lab via Hanscom Airport, Lincoln Lab, Alewife via Hanscom Airport, Arlington Heights, Arlmont Village, Arlington Center, Rindge Ave, Assembly, Clarendon Hill, Davis, Sullivan, Haymarket via Sullivan, Sullivan via Navy Yard, Medford Square, West Medford, Malden, Wellington, Woodland Rd, Elm St, Airport, Lebanon Loop, Linden Square, Linden Square via Sullivan, Harvard via Sullivan, Woodlawn, Haymarket, Wellington via Admiral's Hill & Market Basket, Wood Island via Market Basket & Admiral's Hill, Mystic Mall, Maverick, Northgate, Northgate via Tomasello Way, Beachmont, Beachmont via Tomasello Way, Orient Heights via Waldemar, Maverick via Jeffries Point, Eagle Square, Wood Island, Melrose Highlands via Oak Grove, Malden via Oak Grove, Redstone, Reading Depot, Logan Airport via Andrew, Fields Corner via Adams St, Keystone Apts via Adams St, Fields Corner via Neponset Ave, Quincy Center, Squantum, Houghs Neck via Germantown, Quincy Center via North Quincy, Ashmont via North Quincy, Hingham Depot via Shipyard, Quincy Center via Shipyard, Washington St & Pleasant St Weymouth, East Weymouth, Weymouth Landing via Quincy Ave, Weymouth Landing via Southern Artery, Quincy Center via Southern Artery, Quincy Center via Quincy Ave, Columbian Square, Montello, South Shore Plaza, Holbrook/Randolph, Avon Square, Holbrook/Randolph via Crawford Square, North Burlington via Mall Rd, Alewife via Mall Rd, Bedford Woods Dr via EMD Serono, Bedford Woods Dr, Third Ave, Third Ave via EMD Serono, Burlington (Express) via Woburn, Burlington via Medford Square, West Cummings & Woburn (Express), Boston (Express) via Woburn, Kennedy Dr, Jack Satter House, Eastern & Essex via Western Ave, Central Square via Cliftondale, Haymarket via Cliftondale, Oaklandvale via Cliftondale (Express), Haymarket via Cliftondale (Express), Northgate Shopping Center via Square One Mall, Central Square via Square One Mall, Saugus Center via Square One Mall, Malden via Square One Mall, Salem Depot, Neptune Towers, Liberty Tree via North Shore Mall & Lynnfield St, Central Square via Malls & Lynnfield St, Nahant, Nahant via Central Square, Wonderland via Central Square, Marblehead via Central Square & Paradise Rd, Wonderland via Paradise Rd & Central Square, Ocean St via Central Square, Marblehead via Central Square & Humphrey St, Wonderland via Central Square & Humphrey St, North Beverly via Tozer Rd, North Beverly via Cabot St, Salem Depot via Cabot St, Salem Depot via Tozer Rd & Cummings, Salem Depot via Central Square, Brighton via Copley (Express), Downtown via Copley (Express), Downtown via Cambridge St and Copley (Express), Watertown via Copley and Newton Corner (Express), Waltham (Express), Downtown (Express), Roberts, Newton Corner, Waltham Highlands, Point Shirley, Winthrop Beach, Orient Heights, Hull Ferry, Hingham Depot, Canton Village Shoppes, Forge Park/495 (Shuttle), Canton Junction (Shuttle)",240
MUL-151,"Alewife, Government Center, Union Square, Medford/Tufts, Braintree, Ashmont, Boston College, Cleveland Circle, Riverside, Heath Street",10
MUL-136,"Malden, Woodland Rd, Elm St, Lebanon Loop, Wonderland, Linden Square, Wood Island via Market Basket & Admiral's Hill",7
OSS-111-V2,"Boston College, Government Center, Cleveland Circle, Riverside, Union Square, Worcester, South Station, Kenmore via South Bay Center, Kenmore, Harbor Point via South Bay Center, Fields Corner, Chestnut Hill Mall, Brighton Center",13
MUL-134,"Point Shirley, Winthrop Beach, Bowdoin, Orient Heights via Waldemar",4
PRE-109,"Oak Grove, South Station, Andrew via South Bay Center, Forest Hills, Back Bay, Nubian, Needham Heights, Forest Hills via South Bay Center, Ashmont, Mattapan, Wolcott Square, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Georgetowne, Cleary Square, Reservoir",19
bpl-east-boston-V2,"Bowdoin, Wonderland, Chelsea, South Station, Logan Airport via Andrew, Maverick via Jeffries Point, Orient Heights via Waldemar",7
TPS-115,"Newburyport, Rockport, North Station, Salem Depot, Neptune Towers, Haymarket, Salem Depot via Central Square, Wonderland via Central Square, North Beverly via Tozer Rd, North Beverly via Cabot St",10
TPS-104,"Arlington Center, Lechmere, Ruggles, Central Square, Harvard via Sullivan",5
Audio-ForestHills,"Mattapan, Forest Hills, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Back Bay, Georgetowne, Cleary Square, Reservoir",11
