Screen ID,Name,Destination Count,Destinations
MUL-142,MUL-142 Alewife Busway Lobby,11,"Bedford VA, Alewife, Turkey Hill via Arlington Center, Alewife via Arlington Center, Lincoln Lab via Hanscom Airport, Lincoln Lab, Alewife via Hanscom Airport, North Burlington via Mall Rd, Alewife via Mall Rd, Braintree, Ashmont"
AndrewBusway2,Andrew Busway,13,"Alewife, Andrew (Limited Stops), Arlington via South Bay Center, Andrew via South Bay Center, Andrew, Braintree, Ashmont, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), City Point via South Bay Center, Forest Hills via South Bay Center, Fields Corner, Logan Airport via Andrew"
TPS-125,,2,"North Station, Wachusett"
PRE-177,PRE-177 Kenmore South Entrance,12,"Boston College, Cleveland Circle, Riverside, Harbor Point via South Bay Center, Fields Corner, Watertown Yard, Chestnut Hill Mall, Brighton Center, Government Center, Union Square, Kenmore via South Bay Center, Kenmore"
TPS-102,,11,"Braintree, Ashmont, Alewife, Arlington Center, Clarendon Hill, Sullivan, Davis, Assembly, Medford Square, Lechmere, Harvard"
PRE-170,PRE-170 Arlington Lobby,7,"Boston College, Cleveland Circle, Riverside, Heath Street, Government Center, Union Square, Medford/Tufts"
MUL-130,MUL-130 Forest Hills Main Headhouse Lobby,16,"Mattapan, Forest Hills, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Back Bay, Georgetowne, Cleary Square, Reservoir, Forest Hills via South Bay Center, Andrew via South Bay Center, Ashmont, Wolcott Square, Nubian"
PRE-199,PRE-199 North Station Causeway St Entrance,12,"Oak Grove, Union Square, Medford/Tufts, North Station, Forest Hills, Riverside, Heath Street, Wachusett, Haverhill, Lowell, Newburyport, Rockport"
PRE-160,PRE-160 Copley Eastbound,245,"Government Center, Union Square, Medford/Tufts, Braintree, Ashmont, Alewife, Mattapan, Forest Hills, Oak Grove, Boston College, Cleveland Circle, Riverside, Heath Street, Bowdoin, Wonderland, Logan Airport, South Station, Design Center, Chelsea, Nubian, Downtown, Silver Line Way, Readville, Fall River, New Bedford, Wachusett, North Station, Worcester, Forge Park/495, Foxboro, Winthrop Loop, Quincy Loop, Greenbush, Haverhill, Kingston, Lowell, Needham Heights, Newburyport, Rockport, Wickford Junction, Stoughton, Providence, Hyannis, Charlestown Navy Yard, Long Wharf, Hingham, Rowes Wharf, Hingham via Logan Airport & Hull, Hingham via Hull, Long Wharf via Hull & Logan Airport, Long Wharf via Hull & Georges Island, Lewis Mall Wharf, Blossom Street Pier, Winthrop/Quincy Loop, Harbor Loop, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), Harvard, North Station via South Station, Design Center via South Station, Otis & Summer, Harbor Point via South Bay Center, Kenmore via South Bay Center, City Point, Copley, City Point via South Bay Center, Arlington via South Bay Center, Chauncy & Summer, Roslindale Square, Heath St, Fields Corner, Ruggles, Forest Hills via South Bay Center, Andrew via South Bay Center, Andrew, Kenmore, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Mattapan via Franklin Field, Jackson Square via Franklin Field, Wolcott Square, River St & Milton St, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Back Bay, Georgetowne, Centre St & Eliot St, JFK/UMass, Park St & Tremont St, Jackson Square, Franklin Park, Central Square, Broadway, Cleary Square, Reservoir, Watertown Yard, West Fenway, Arlington, Needham Junction via Needham St, Watertown Square via Needham St, Chestnut Hill Mall, North Waltham, Waltham Center, Bedford VA, Oak Square, Kendall/MIT, Brighton Center, Harvard via Allston, Nubian via Allston, Turkey Hill via Arlington Center, Alewife via Arlington Center, Lechmere, Market Place Dr, University Park, Watertown Square, Waverley, Belmont Center, Lincoln Lab via Hanscom Airport, Lincoln Lab, Alewife via Hanscom Airport, Arlington Heights, Arlmont Village, Arlington Center, Rindge Ave, Assembly, Clarendon Hill, Davis, Sullivan, Haymarket via Sullivan, Sullivan via Navy Yard, Medford Square, West Medford, Malden, Wellington, Woodland Rd, Elm St, Airport, Lebanon Loop, Linden Square, Linden Square via Sullivan, Harvard via Sullivan, Woodlawn, Haymarket, Wellington via Admiral's Hill & Market Basket, Wood Island via Market Basket & Admiral's Hill, Mystic Mall, Maverick, Northgate, Beachmont, Beachmont via Tomasello Way, Orient Heights via Waldemar, Maverick via Jeffries Point, Eagle Square, Wood Island, Melrose Highlands via Oak Grove, Malden via Oak Grove, Redstone, Reading Depot, Logan Airport via Andrew, Fields Corner via Adams St, Keystone Apts via Adams St, Fields Corner via Neponset Ave, Quincy Center, Squantum, Houghs Neck via Germantown, Quincy Center via North Quincy, Ashmont via North Quincy, Hingham Depot via Shipyard, Quincy Center via Shipyard, Washington St & Pleasant St Weymouth, East Weymouth, Weymouth Landing via Quincy Ave, Weymouth Landing via Southern Artery, Quincy Center via Southern Artery, Quincy Center via Quincy Ave, Columbian Square, Montello, South Shore Plaza, Holbrook/Randolph, Avon Square, Holbrook/Randolph via Crawford Square, North Burlington via Mall Rd, Alewife via Mall Rd, Bedford Woods Dr via EMD Serono, Bedford Woods Dr, Third Ave, Third Ave via EMD Serono, Burlington (Express) via Woburn, Burlington via Medford Square, West Cummings & Woburn (Express), Boston (Express) via Woburn, Kennedy Dr, Jack Satter House, Eastern & Essex via Western Ave, Central Square via Cliftondale, Haymarket via Cliftondale, Oaklandvale via Cliftondale (Express), Haymarket via Cliftondale (Express), Northgate Shopping Center via Square One Mall, Central Square via Square One Mall, Saugus Center via Square One Mall, Malden via Square One Mall, Salem Depot, Neptune Towers, Liberty Tree via North Shore Mall & Lynnfield St, Central Square via Malls & Lynnfield St, Nahant, Nahant via Central Square, Wonderland via Central Square, Marblehead via Central Square & Paradise Rd, Wonderland via Paradise Rd & Central Square, Ocean St via Central Square, Marblehead via Central Square & Humphrey St, Wonderland via Central Square & Humphrey St, North Beverly via Tozer Rd, North Beverly via Cabot St, Salem Depot via Cabot St, Salem Depot via Tozer Rd & Cummings, Salem Depot via Central Square, Brighton via Copley (Express), Downtown via Copley (Express), Downtown via Cambridge St and Copley (Express), Watertown via Copley and Newton Corner (Express), Waltham (Express), Downtown (Express), Roberts, Newton Corner, Waltham Highlands, Sullivan (Shuttle), Navy Yard (Shuttle), JFK/UMass (Shuttle), Castle Island (Shuttle), Point Shirley, Winthrop Beach, Orient Heights, Hull Ferry, Hingham Depot, Canton Village Shoppes, Forge Park/495 (Shuttle), Canton Junction (Shuttle), Stoughton (Shuttle)"
PRE-201,PRE-201 North Station Valenti Way,12,"Oak Grove, Union Square, Medford/Tufts, North Station, Forest Hills, Riverside, Heath Street, Wachusett, Haverhill, Lowell, Newburyport, Rockport"
Audio-Ruggles,MUL-117/118 Ruggles Lower Busway Audio,0,
PRE-190,PRE-190 State - Old South Meeting House,4,"Forest Hills, Oak Grove, Wonderland, Bowdoin"
MUL-132,MUL-132 Sullivan Square Upper Busway,11,"Ruggles, Davis, Central Square, Linden Square via Sullivan, Harvard via Sullivan, Assembly, Haymarket via Sullivan, Downtown, Arlington Center, West Medford, Malden"
PRE-153,PRE-153 Boylston Westbound Headhouse,245,"Boston College, Cleveland Circle, Riverside, Heath Street, Braintree, Ashmont, Alewife, Mattapan, Forest Hills, Oak Grove, Government Center, Union Square, Medford/Tufts, Bowdoin, Wonderland, Logan Airport, South Station, Design Center, Chelsea, Nubian, Downtown, Silver Line Way, Readville, Fall River, New Bedford, Wachusett, North Station, Worcester, Forge Park/495, Foxboro, Winthrop Loop, Quincy Loop, Greenbush, Haverhill, Kingston, Lowell, Needham Heights, Newburyport, Rockport, Wickford Junction, Stoughton, Providence, Hyannis, Charlestown Navy Yard, Long Wharf, Hingham, Rowes Wharf, Hingham via Logan Airport & Hull, Hingham via Hull, Long Wharf via Hull & Logan Airport, Long Wharf via Hull & Georges Island, Lewis Mall Wharf, Blossom Street Pier, Winthrop/Quincy Loop, Harbor Loop, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), Harvard, North Station via South Station, Design Center via South Station, Otis & Summer, Harbor Point via South Bay Center, Kenmore via South Bay Center, City Point, Copley, City Point via South Bay Center, Arlington via South Bay Center, Chauncy & Summer, Roslindale Square, Heath St, Fields Corner, Ruggles, Forest Hills via South Bay Center, Andrew via South Bay Center, Andrew, Kenmore, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Mattapan via Franklin Field, Jackson Square via Franklin Field, Wolcott Square, River St & Milton St, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Back Bay, Georgetowne, Centre St & Eliot St, JFK/UMass, Park St & Tremont St, Jackson Square, Franklin Park, Central Square, Broadway, Cleary Square, Reservoir, Watertown Yard, West Fenway, Arlington, Needham Junction via Needham St, Watertown Square via Needham St, Chestnut Hill Mall, North Waltham, Waltham Center, Bedford VA, Oak Square, Kendall/MIT, Brighton Center, Harvard via Allston, Nubian via Allston, Turkey Hill via Arlington Center, Alewife via Arlington Center, Lechmere, Market Place Dr, University Park, Watertown Square, Waverley, Belmont Center, Lincoln Lab via Hanscom Airport, Lincoln Lab, Alewife via Hanscom Airport, Arlington Heights, Arlmont Village, Arlington Center, Rindge Ave, Assembly, Clarendon Hill, Davis, Sullivan, Haymarket via Sullivan, Sullivan via Navy Yard, Medford Square, West Medford, Malden, Wellington, Woodland Rd, Elm St, Airport, Lebanon Loop, Linden Square, Linden Square via Sullivan, Harvard via Sullivan, Woodlawn, Haymarket, Wellington via Admiral's Hill & Market Basket, Wood Island via Market Basket & Admiral's Hill, Mystic Mall, Maverick, Northgate, Beachmont, Beachmont via Tomasello Way, Orient Heights via Waldemar, Maverick via Jeffries Point, Eagle Square, Wood Island, Melrose Highlands via Oak Grove, Malden via Oak Grove, Redstone, Reading Depot, Logan Airport via Andrew, Fields Corner via Adams St, Keystone Apts via Adams St, Fields Corner via Neponset Ave, Quincy Center, Squantum, Houghs Neck via Germantown, Quincy Center via North Quincy, Ashmont via North Quincy, Hingham Depot via Shipyard, Quincy Center via Shipyard, Washington St & Pleasant St Weymouth, East Weymouth, Weymouth Landing via Quincy Ave, Weymouth Landing via Southern Artery, Quincy Center via Southern Artery, Quincy Center via Quincy Ave, Columbian Square, Montello, South Shore Plaza, Holbrook/Randolph, Avon Square, Holbrook/Randolph via Crawford Square, North Burlington via Mall Rd, Alewife via Mall Rd, Bedford Woods Dr via EMD Serono, Bedford Woods Dr, Third Ave, Third Ave via EMD Serono, Burlington (Express) via Woburn, Burlington via Medford Square, West Cummings & Woburn (Express), Boston (Express) via Woburn, Kennedy Dr, Jack Satter House, Eastern & Essex via Western Ave, Central Square via Cliftondale, Haymarket via Cliftondale, Oaklandvale via Cliftondale (Express), Haymarket via Cliftondale (Express), Northgate Shopping Center via Square One Mall, Central Square via Square One Mall, Saugus Center via Square One Mall, Malden via Square One Mall, Salem Depot, Neptune Towers, Liberty Tree via North Shore Mall & Lynnfield St, Central Square via Malls & Lynnfield St, Nahant, Nahant via Central Square, Wonderland via Central Square, Marblehead via Central Square & Paradise Rd, Wonderland via Paradise Rd & Central Square, Ocean St via Central Square, Marblehead via Central Square & Humphrey St, Wonderland via Central Square & Humphrey St, North Beverly via Tozer Rd, North Beverly via Cabot St, Salem Depot via Cabot St, Salem Depot via Tozer Rd & Cummings, Salem Depot via Central Square, Brighton via Copley (Express), Downtown via Copley (Express), Downtown via Cambridge St and Copley (Express), Watertown via Copley and Newton Corner (Express), Waltham (Express), Downtown (Express), Roberts, Newton Corner, Waltham Highlands, Sullivan (Shuttle), Navy Yard (Shuttle), JFK/UMass (Shuttle), Castle Island (Shuttle), Point Shirley, Winthrop Beach, Orient Heights, Hull Ferry, Hingham Depot, Canton Village Shoppes, Forge Park/495 (Shuttle), Canton Junction (Shuttle), Stoughton (Shuttle)"
PRE-189,PRE-189 State - 60 State Street,4,"Bowdoin, Wonderland, Oak Grove, Forest Hills"
Audio-Ashmont,MUL-124/125 Ashmont Busway Audio,14,"Ashmont, Alewife, Mattapan, Andrew, Forest Hills, Ruggles, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Quincy Center, Quincy Center via North Quincy, Ashmont via North Quincy, Avon Square, Holbrook/Randolph via Crawford Square"
MUL-110,MUL-110 Ruggles,23,"Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), Harbor Point via South Bay Center, Kenmore via South Bay Center, Fields Corner, Kenmore, Ashmont, Mattapan, Ruggles, Park St & Tremont St, Jackson Square, Franklin Park, Central Square, Broadway, Assembly, Forest Hills, Oak Grove, Forge Park/495, South Station, Needham Heights, Wickford Junction, Stoughton"
MUL-133,MUL-133 Wonderland,15,"Wonderland, Wellington, Maverick, Malden, Wonderland via Central Square, Wonderland via Paradise Rd & Central Square, Wonderland via Central Square & Humphrey St, Bowdoin, Jack Satter House, Eastern & Essex via Western Ave, Nahant via Central Square, Marblehead via Central Square & Paradise Rd, Ocean St via Central Square, Marblehead via Central Square & Humphrey St, Salem Depot via Central Square"
PRE-158,PRE-158 Harvard Busway,17,"Braintree, Ashmont, Harvard via Allston, Watertown Square, Waverley, Belmont Center, Arlington Heights, Arlmont Village, Harvard, Medford Square, Linden Square via Sullivan, Nubian, Nubian via Allston, Kendall/MIT, Lechmere, Reservoir, Harvard via Sullivan"
TPS-105,,8,"Fall River, New Bedford, South Station, Holbrook/Randolph, Quincy Center, Holbrook/Randolph via Crawford Square, Ashmont, Avon Square"
MUL-123,MUL-123 Jackson Square Busway,12,"Forest Hills, Roslindale Square, Ashmont, Mattapan via Franklin Field, Mattapan, Centre St & Eliot St, Jackson Square, Oak Grove, Heath St, Ruggles, Jackson Square via Franklin Field, JFK/UMass"
MUL-126,MUL-126 Forest Hills Lower Busway Left,19,"Nubian, Wolcott Square, Oak Grove, South Station, Andrew via South Bay Center, Forest Hills, Back Bay, Needham Heights, Forest Hills via South Bay Center, Ashmont, Mattapan, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Georgetowne, Cleary Square, Reservoir"
TPS-116,,7,"Oak Grove, Forest Hills, Union Square, Medford/Tufts, Riverside, Heath Street, Wonderland"
MUL-146,MUL-146 Mattapan,10,"Wakefield Ave, Ashmont, Mattapan, Forest Hills, River St & Milton St, Quincy Center, Canton Village Shoppes, Ruggles, Mattapan via Franklin Field, Jackson Square via Franklin Field"
TPS-123,,2,"North Station, Wachusett"
PRE-102,PRE-102 Government Center North,9,"Government Center, Union Square, Medford/Tufts, Wonderland, Boston College, Cleveland Circle, Riverside, Heath Street, Bowdoin"
TPS-122,,7,"Ashmont, Fall River, New Bedford, South Station, Holbrook/Randolph, Quincy Center, Holbrook/Randolph via Crawford Square"
MUL-101,MUL-101 Ashmont,14,"Alewife, Mattapan, Ashmont, Andrew, Forest Hills, Ruggles, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Quincy Center, Quincy Center via North Quincy, Ashmont via North Quincy, Avon Square, Holbrook/Randolph via Crawford Square"
bpl-adams-street-V2,BPL Adams St,16,"Alewife, Mattapan, Ashmont, Andrew, Forest Hills, Ruggles, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Quincy Center, Quincy Center via North Quincy, Ashmont via North Quincy, Avon Square, Holbrook/Randolph via Crawford Square, Fields Corner via Adams St, Keystone Apts via Adams St"
MUL-112-V2,MUL-112 Wonderland (REMOVED),15,"Bowdoin, Wonderland, Wellington, Maverick, Jack Satter House, Malden, Eastern & Essex via Western Ave, Nahant via Central Square, Wonderland via Central Square, Marblehead via Central Square & Paradise Rd, Wonderland via Paradise Rd & Central Square, Ocean St via Central Square, Marblehead via Central Square & Humphrey St, Wonderland via Central Square & Humphrey St, Salem Depot via Central Square"
