Screen ID,Name,Destination Count,Destinations
TPS-121,,4,"Government Center, Boston College, Watertown Yard, Kenmore"
TPS-108,,8,"Wachusett, North Station, North Waltham, Market Place Dr, Roberts, Waltham Center, University Park, Newton Corner"
MUL-137,MUL-137 Wellington Exterior Busway Left,5,"Malden, Elm St, Woodland Rd, Lebanon Loop, Wonderland"
MUL-113-V2,MUL-113 Haymarket-Surface Rd,8,"Woodlawn, Haymarket, Riverside, Union Square, Heath Street, Medford/Tufts, Forest Hills, Oak Grove"
MUL-118,MUL-118 Ruggles Lower Busway Right,11,"Fields Corner, Franklin Park, Jackson Square, Ruggles, Park St & Tremont St, Kenmore via South Bay Center, Kenmore, Central Square, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Assembly"
MUL-128,MUL-128 Forest Hills Upper Busway Left,19,"Dedham Mall, VA Hospital, Baker & Vermont St, Mattapan, Reservoir, Oak Grove, South Station, Andrew via South Bay Center, Forest Hills, Back Bay, Nubian, Needham Heights, Forest Hills via South Bay Center, Ashmont, Wolcott Square, Walpole Center via Washington St, Wren St, Georgetowne, Cleary Square"
TPS-114,,4,"Arlington Heights, Harvard, Alewife via Arlington Center, Turkey Hill via Arlington Center"
TPS-111,,7,"Greenbush, South Station, Weymouth Landing via Quincy Ave, Weymouth Landing via Southern Artery, Quincy Center via Southern Artery, Quincy Center via Quincy Ave, Braintree"
Audio-Andrew,MUL-119/120 Andrew Busway Audio,13,"Braintree, Ashmont, Alewife, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), City Point via South Bay Center, Arlington via South Bay Center, Forest Hills via South Bay Center, Andrew via South Bay Center, Fields Corner, Andrew, Logan Airport via Andrew"
PRE-187,PRE-187 Haymarket Orange Line Entrance,6,"Oak Grove, Forest Hills, Union Square, Medford/Tufts, Riverside, Heath Street"
